Excel Row,Organization Name,Country,Website,Google Drive ID,Google Drive URL,LOCAL FILE (fill this in)
2,"Naciye Pehlivanlı Saran Anadolu Lisesi","Turkey","","1HrCb0K4UPRWNJ9f7pfLOfXfoAS0e6qFF","https://drive.google.com/open?id=1HrCb0K4UPRWNJ9f7pfLOfXfoAS0e6qFF",""
3,"AcrossLimits","Malta","","11bZsyPHbkQZ_IekE8w-KV14nBLeQ84PM","https://drive.google.com/open?id=11bZsyPHbkQZ_IekE8w-KV14nBLeQ84PM",""
4,"E-UNITY","Netherlands","","1ObEb40Iew3SzdxwYINrpqyzFTYNw6P1j","https://drive.google.com/open?id=1ObEb40Iew3SzdxwYINrpqyzFTYNw6P1j",""
5,"leaders foundation for management science and development","Egypt","","1P7LuSeSZbaZISjr4Kfw5hCUMQEsBS9-7","https://drive.google.com/open?id=1P7LuSeSZbaZISjr4Kfw5hCUMQEsBS9-7",""
6,"International Alliance for Integration & Sustainability","Malta","","1B_n6SSPAhyhbsKnl0q-xKW4H5jNq7rCr","https://drive.google.com/open?id=1B_n6SSPAhyhbsKnl0q-xKW4H5jNq7rCr",""
7,"Rzeszowska Agencja Rozwoju Regionalnego Spółka Akcyjne (Rzeszow Regional Development Agency)","Poland","","16FAan4QfD63g-AG1FNTKzXW-vw0_18kd","https://drive.google.com/open?id=16FAan4QfD63g-AG1FNTKzXW-vw0_18kd",""
8,"ASSOCIATION FOR THE DEVELOPMENT OF THE PROINCLUSIVE, DIGITAL AND ENVIRONMENTAL EDUCATION","North Macedonia","","17jVKgMZpVKaihNPRuqHc6LenJDw88PlB","https://drive.google.com/open?id=17jVKgMZpVKaihNPRuqHc6LenJDw88PlB",""
9,"BK Plus Europe","Cyprus","","1XChx6urcy0rR657fekh2r3nbo6hsODge","https://drive.google.com/open?id=1XChx6urcy0rR657fekh2r3nbo6hsODge",""
10,"Bosphorus Youth Team","Turkey","","1Xi615UfiQiRpsZ741lgEEYtw1CQidpIz","https://drive.google.com/open?id=1Xi615UfiQiRpsZ741lgEEYtw1CQidpIz",""
11,"CONNECT PEOPLE 2U","Romania","","1JHLpw6vgKDP4lorhxm0zTbRItunURxEo","https://drive.google.com/open?id=1JHLpw6vgKDP4lorhxm0zTbRItunURxEo",""
12,"Dreaming OPEnly e.V.","Germany","","1_KyYV_SKTlDoUpbShw042F6ZOwugvTKz","https://drive.google.com/open?id=1_KyYV_SKTlDoUpbShw042F6ZOwugvTKz",""
13,"ADEL Slovakia","Slovakia","","1f10MrUGKjZYxAOom9U7AmEkxaSn5V0sC","https://drive.google.com/open?id=1f10MrUGKjZYxAOom9U7AmEkxaSn5V0sC",""
14,"ARD Local Action Group  PRESPA RESEN","North Macedonia","","1wst8OS5x7Nfj4AIZfRpdSWmDihlW2TWf","https://drive.google.com/open?id=1wst8OS5x7Nfj4AIZfRpdSWmDihlW2TWf",""
15,"KUCUKCEKMECE MUNICIPALITY","Turkey","","1Thk7CwauILy6POGX8VLMAZvpnxnQSde8","https://drive.google.com/open?id=1Thk7CwauILy6POGX8VLMAZvpnxnQSde8",""
16,"Third Belgrade gymnasium","Serbia","","1hKm9dgYqulKkqC3WHmnV4B70UBXCvxwr","https://drive.google.com/open?id=1hKm9dgYqulKkqC3WHmnV4B70UBXCvxwr",""
17,"Gimnazija Patrijarh Pavle","Serbia","","1WKgBCPwEm4Bejl_paIalPUloa3hT117T","https://drive.google.com/open?id=1WKgBCPwEm4Bejl_paIalPUloa3hT117T",""
18,"Modern Azerbaijan Youth","Azerbaijan","","1YOF-Yad-aj7Lkwz2qIoc7DqHV7lmnpDW","https://drive.google.com/open?id=1YOF-Yad-aj7Lkwz2qIoc7DqHV7lmnpDW",""
19,"Old School Green Association","Turkey","","1ejtIH8CmR0vwTqCURzGbcAScPEanZ3LM","https://drive.google.com/open?id=1ejtIH8CmR0vwTqCURzGbcAScPEanZ3LM",""
20,"ASOCIATIA TINERILOR ROMI, ENERGICI AMBITIOSI SI MOTIVATI","Romania","","1EWXdeJ4QjmUs412Wx16M_YePayY2JHGZ","https://drive.google.com/open?id=1EWXdeJ4QjmUs412Wx16M_YePayY2JHGZ",""
21,"III. gimnazija, Split","Croatia","","1s4GpmTug11DkDMr8Kpw6NYHygpmemKJd","https://drive.google.com/open?id=1s4GpmTug11DkDMr8Kpw6NYHygpmemKJd",""
22,"Tenzile Erdoğan Anadolu Lisesi","Turkey","","1b-LjNT0-d5mnqseVXO3wh0MjFC8Tqj4u","https://drive.google.com/open?id=1b-LjNT0-d5mnqseVXO3wh0MjFC8Tqj4u",""
23,"Forward for Future","Ukraine","","1mjp7ufyckoljo9Y5dFFwfT21u1-kkV5-","https://drive.google.com/open?id=1mjp7ufyckoljo9Y5dFFwfT21u1-kkV5-",""
24,"Arsin Yeşilce Özel Eğitim Mesleki Eğitim Merkezi","Turkey","","1eEW4V1RvMhXnVih3sOx4_wkS4Z5VNyVz","https://drive.google.com/open?id=1eEW4V1RvMhXnVih3sOx4_wkS4Z5VNyVz",""
25,"Albanian Center for Education Care and Training","Albania","","1ofcVK6-8D-MZX-yPEj5hP08Imfr9D-mf","https://drive.google.com/open?id=1ofcVK6-8D-MZX-yPEj5hP08Imfr9D-mf",""
26,"Rural Move: Rural Move - Associação para a Promoção do Investimento nos Territórios de Baixa Densidade","Portugal","","1Dk6w5dUiKRF89i9I6awF2365efj256iZ","https://drive.google.com/open?id=1Dk6w5dUiKRF89i9I6awF2365efj256iZ",""
27,"Iniciativi za grjdansko obchtestvo (Initiatives for Civil Society) - Bulgaria.","Bulgaria","","1VpB4bYmftphR2Hs-Rs5blNxTra3_vq0x","https://drive.google.com/open?id=1VpB4bYmftphR2Hs-Rs5blNxTra3_vq0x",""
28,"Open Educational Vibes","Serbia","","1G-NG763MyR5kIc8ARcI8qqLNcCGshDpo","https://drive.google.com/open?id=1G-NG763MyR5kIc8ARcI8qqLNcCGshDpo",""
29,"Easysustainability","Italy","","1kco_CKpHr4Wu6vAnrb064cFl4wtPppcZ","https://drive.google.com/open?id=1kco_CKpHr4Wu6vAnrb064cFl4wtPppcZ",""
30,"KUZEYİN YILDIZLARI Sosyal Yardımlaşma Kültür Sanat ve Spor Kulübü Derneği","Turkey","","1Aem65y2C4nhlbi0QCRrVrdCMni2u-gHy","https://drive.google.com/open?id=1Aem65y2C4nhlbi0QCRrVrdCMni2u-gHy",""
31,"Embaixada da Juventude","Spain","","1494wevJpf2ImTxO19bgzr1Lq6-KxKsf7","https://drive.google.com/open?id=1494wevJpf2ImTxO19bgzr1Lq6-KxKsf7",""
32,"Dideas","Spain","","1ryqGrWxEclH2USzvb88nB5XDpQYJTvUc","https://drive.google.com/open?id=1ryqGrWxEclH2USzvb88nB5XDpQYJTvUc",""
33,"Verde: Center for Research, Innovation and Sustainable Development","Greece","","1LvA4kROkN6W9TK1GXORBvOPUro_bVZvz","https://drive.google.com/open?id=1LvA4kROkN6W9TK1GXORBvOPUro_bVZvz",""
34,"DAR DEVELOPMENT ASSOCIATION","Romania","http://www.darassociation.org/contact.html","1Wcj6okRuzd426ge3o_XOM8P7wb4w2Isn","https://drive.google.com/open?id=1Wcj6okRuzd426ge3o_XOM8P7wb4w2Isn",""
